id,competitor_name,location,category,strengths,weaknesses,price_positioning,notable_products,online_presence,source,timestamp
24,Naturally Yours,Hyderabad,organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,Pasta,Not specified,https://naturallyyours.in/,2026-04-16T12:34:00
25,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Fast delivery / quick commerce capability; Strong sustainability/eco positioning,Speed-first focus may compromise product quality/range,similar,General organic groceries,Website/online delivery; Third-party platforms,https://blinkitmart.com/blinkit-quick-commerce-india-2025-growth-challenges-market-analysis/,2026-04-16T12:34:15
26,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Fast delivery / quick commerce capability; Strong digital presence and mobile app; Aggressive pricing and discount strategies,Speed-first focus may compromise product quality/range,budget,"Rice, Personal Care",Mobile app; Website/online delivery; Third-party platforms; Social media active,https://startuptalky.com/zepto-marketing-strategy/,2026-04-16T12:34:22
27,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Fast delivery / quick commerce capability; 10-minute delivery — unmatched speed,Specific weaknesses not identified in this source,similar,General organic groceries,Website/online delivery; Third-party platforms,https://www.theproductfolks.com/product-management-blog/zeptos-10-minute-delivery---product-strategy,2026-04-16T12:34:22
28,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Strong sustainability/eco positioning,Speed-first focus may compromise product quality/range,similar,General organic groceries,Not specified,https://mukundmohan.blog/tag/ecommerce/,2026-04-16T12:34:27
29,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Strong sustainability/eco positioning; Massive customer base and logistics network,Specific weaknesses not identified in this source,similar,Oil,Third-party platforms,https://blog.bigbasket.com/2021/03/01/7-ways-to-know-if-your-food-is-organic/,2026-04-16T12:36:24
30,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Strong farm-to-fork traceability and sourcing transparency; Massive customer base and logistics network,Specific weaknesses not identified in this source,similar,"Vegetable, Fruit",Third-party platforms,https://money.rediff.com/news/market/bigbasket-partners-with-andhra-pradesh-for-organic-produce/20686220250109,2026-04-16T12:36:24
31,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Private label products with higher margins; Massive customer base and logistics network,Specific weaknesses not identified in this source,similar,"Snack, Dairy, Home Care",Third-party platforms,https://www.irecwire.com/article/food-service/how-private-labels-are-disrupting-indias-retail-market,2026-04-16T12:36:31
32,Lahaan Organics,Hyderabad,organic_retail,Strong farm-to-fork traceability and sourcing transparency,Limited product range compared to TOW,similar,General organic groceries,Not specified,https://telanganatoday.com/this-shop-in-hyderabad-is-one-stop-destination-for-organic-food,2026-04-16T12:36:53
33,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://24mantraorganic.com/,2026-04-16T12:59:03
34,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Fast delivery / quick commerce capability; Express or same-day delivery capability,Specific weaknesses not identified in this source,budget,Rice,Website/online delivery,https://www.distacart.com/products/24-mantra-organic-jaggery-powder,2026-04-16T12:59:08
35,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Strong farm-to-fork traceability and sourcing transparency,Specific weaknesses not identified in this source,similar,Rice,Not specified,https://thebetterindia.com/251690/raj-seelam-hyderabad-sresta-natural-bioproducts-24-mantra-organic-farming-sustainable-lifestyle-healthy-food-no-chemical-him16/,2026-04-16T12:59:12
36,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Backed by ITC conglomerate — massive distribution & brand reach; Strong farm-to-fork traceability and sourcing transparency; Strong digital presence and mobile app,Large corporate ownership may reduce authenticity perception,similar,General organic groceries,Mobile app,https://www.moneycontrol.com/news/india/itc-completes-acquisition-of-24-mantra-organic-brand-owner-sresta-natural-13121749.html,2026-04-16T12:59:12
37,Naturally Yours,Hyderabad,organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,General organic groceries,Website/online delivery,https://amazingfoodanddrink.com/strategies-marketing-organic-food-products/,2026-04-16T12:59:26
38,Naturally Yours,Hyderabad,organic_retail,Private label products with higher margins,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://www.themediaant.com/blog/complete-guide-to-organic-marketing-2025/,2026-04-16T12:59:26
39,Naturally Yours,Hyderabad,organic_retail,Strong digital presence and mobile app,Specific weaknesses not identified in this source,similar,Rice,Mobile app,https://www.letsorganic.com/blogs/news/what-makes-lets-organic-market-different-from-other-organic-stores,2026-04-16T12:59:38
40,Naturally Yours,Hyderabad,organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,"Oil, Vegetable, Fruit",Website/online delivery,https://thealtitudestore.com/,2026-04-16T12:59:38
41,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Strong brand presence; established customer base,Speed-first focus may compromise product quality/range,similar,Snack,Not specified,https://www.indiatoday.in/business/story/quick-commerce-boom-in-india-instant-delivery-blinkit-zepto-swiggy-instamart-2593627-2024-09-04,2026-04-16T13:00:06
42,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Strong farm-to-fork traceability and sourcing transparency; Massive customer base and logistics network,Specific weaknesses not identified in this source,budget,Rice,Third-party platforms,https://www.businessoffood.in/bigbasket-partners-with-farmers-to-eliminate-price-gap-between-organic-and-conventional-foods/,2026-04-16T13:01:58
43,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Strong farm-to-fork traceability and sourcing transparency; Massive customer base and logistics network,Specific weaknesses not identified in this source,budget,General organic groceries,Third-party platforms,https://www.fnbnews.com/Top-News/bigbasket-partners-with-over-30000-farmers-to-eliminate-price-gap-between-organic--conventional-foods-79699,2026-04-16T13:01:58
44,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Tata Group backing — trust and scale; Massive customer base and logistics network,Specific weaknesses not identified in this source,budget,"Vegetable, Fruit",Third-party platforms,https://indiabusinesstrade.in/news_buzz/bigbasket-launches-initiative-to-make-organic-food-affordable/,2026-04-16T13:01:58
45,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Massive customer base and logistics network,Specific weaknesses not identified in this source,similar,"Vegetable, Fruit",Website/online delivery; Third-party platforms,https://www.thehindubusinessline.com/companies/Online-retailers-breathe-life-into-organic-product-biz/article20903479.ece,2026-04-16T13:01:58
46,Lahaan Organics,Hyderabad,organic_retail,Strong sustainability/eco positioning,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://fssai.gov.in/upload/uploadfiles/files/Compendium_Organic_Food_26_10_2021.pdf,2026-04-16T13:02:17
47,The Conscious Living Store (Tula India),Hyderabad,organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://www.etvbharat.com/en/offbeat/hyderabad-couple-promotes-natural-food-eco-friendly-clothing-through-conscious-living-initiative-enn26030502287,2026-04-16T13:02:34
48,The Conscious Living Store (Tula India),Hyderabad,organic_retail,Strong farm-to-fork traceability and sourcing transparency; Strong sustainability/eco positioning,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://tula.org.in/,2026-04-16T13:02:41
49,The Conscious Living Store (Tula India),Hyderabad,organic_retail,Strong digital presence and mobile app,Specific weaknesses not identified in this source,similar,General organic groceries,Mobile app,https://www.retail4growth.com/news/the-organic-world-plans-to-add-30-new-stores-in-hyderabad-7021,2026-04-16T13:02:48
50,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Fast delivery / quick commerce capability; Strong digital presence and mobile app; Strong sustainability/eco positioning,Specific weaknesses not identified in this source,similar,General organic groceries,Mobile app; Website/online delivery; Third-party platforms,https://iide.co/blog/blinkit-business-model/,2026-04-16T16:40:26
51,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Strong digital presence and mobile app; Strong sustainability/eco positioning,Speed-first focus may compromise product quality/range,similar,General organic groceries,Mobile app,https://www.mintoak.com/blog/quick-commerce-vs-kirana-stores-a-new-era-in-urban-retail,2026-04-16T16:40:36
52,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Fast delivery / quick commerce capability; Express or same-day delivery capability,Speed-first focus may compromise product quality/range,similar,General organic groceries,Website/online delivery,https://www.clickpost.ai/blog/quick-commerce-companies,2026-04-16T16:40:36
53,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,"Vegetable, Fruit",Third-party platforms,https://orissadiary.com/swiggy-instamart-expands-the-selection-of-fresh-fruits-and-vegetables-in-hyderabad-vizag-and-vijayawada/,2026-04-16T16:40:42
54,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Fast delivery / quick commerce capability,Specific weaknesses not identified in this source,similar,Rice,Website/online delivery,https://www.swiggy.com/instamart/city/hyderabad/b/24-mantra,2026-04-16T16:40:42
55,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Massive customer base and logistics network,Specific weaknesses not identified in this source,similar,"Rice, Vegetable, Fruit",Website/online delivery; Third-party platforms,https://www.bigbasket.com/pc/fruits-vegetables/organic-fruits-vegetables/,2026-04-16T16:42:16
56,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Strong sustainability/eco positioning; Massive customer base and logistics network,Specific weaknesses not identified in this source,premium,Rice,Website/online delivery; Third-party platforms,https://www.bigbasket.com/pb/bb-royal/,2026-04-16T16:42:16
57,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Fast delivery / quick commerce capability; Private label products with higher margins; Massive customer base and logistics network,Specific weaknesses not identified in this source,similar,General organic groceries,Website/online delivery; Third-party platforms,https://mamekamlearningstartupstories.blogspot.com/2025/05/the-bigbasket-startup-story-from-dot.html,2026-04-16T16:42:21
58,The Conscious Living Store (Tula India),Hyderabad,organic_retail,Pan-India presence and brand recognition,Specific weaknesses not identified in this source,similar,General organic groceries,Website/online delivery,https://yourstory.com/socialstory/2020/01/ancient-living-hyderabad-entrepreneur-organic-ecofriendly-products,2026-04-16T16:42:56
59,The Conscious Living Store (Tula India),Hyderabad,organic_retail,Aggressive pricing and discount strategies,Specific weaknesses not identified in this source,budget,"Rice, Vegetable",Not specified,https://www.upto75.com/more-mega-store-hyderabad-sales,2026-04-16T16:43:07
60,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,"Flour, Oil, Dal, Spice, Snack",Not specified,https://tracxn.com/d/companies/24-mantra/__7hAYI18VmH9O-1FKVUnSwYP5t1iFJ7i_6eDRWqLdWwE,2026-04-16T21:03:17
61,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Strong farm-to-fork traceability and sourcing transparency,Specific weaknesses not identified in this source,similar,Oil,Website/online delivery,https://www.distacart.com/collections/24-mantra-organic,2026-04-16T21:03:17
62,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Aggressive pricing and discount strategies,Specific weaknesses not identified in this source,budget,Rice,Website/online delivery,https://www.scribd.com/document/710034202/Organic-Brand-List,2026-04-16T21:03:17
63,Naturally Yours,Hyderabad,organic_retail,Strong farm-to-fork traceability and sourcing transparency,Specific weaknesses not identified in this source,similar,General organic groceries,Website/online delivery; Third-party platforms,https://yourstory.com/2015/08/naturally-yours,2026-04-16T21:05:08
64,Naturally Yours,Hyderabad,organic_retail,10-minute delivery — unmatched speed,Large corporate ownership may reduce authenticity perception,similar,"Rice, Millet, Quinoa, Pasta",Not specified,https://naturallyyours.in/pages/our-story,2026-04-16T21:05:08
65,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Strong digital presence and mobile app; Strong sustainability/eco positioning,Speed-first focus may compromise product quality/range,similar,Milk,Mobile app; Third-party platforms,https://zomefy.com/startup-unicorn/blinkit-2025-quick-commerce-unit-economics-dark-store-expansion-and-path-to-sustainable,2026-04-16T21:05:19
66,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Fast delivery / quick commerce capability; Strong digital presence and mobile app; Subscription model creates recurring revenue & loyalty,Specific weaknesses not identified in this source,similar,General organic groceries,Mobile app; Website/online delivery; Third-party platforms,https://www.cisin.com/coffee-break/how-to-build-grocery-delivery-app.html,2026-04-16T21:07:24
67,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Strong farm-to-fork traceability and sourcing transparency; Fast delivery / quick commerce capability; Massive customer base and logistics network,Specific weaknesses not identified in this source,similar,"Rice, Vegetable, Fruit",Website/online delivery; Third-party platforms,https://www.indiaretailing.com/2024/09/24/bigbasket-partners-with-over-30000-farmers-to-offer-organic-produce,2026-04-16T21:07:30
68,Lahaan Organics,Hyderabad,organic_retail,Strong farm-to-fork traceability and sourcing transparency,Specific weaknesses not identified in this source,similar,Oil,Not specified,https://www.thedailystar.net/slow-reads/big-picture/news/beyond-the-hype-the-reality-organic-agriculture-4146516,2026-04-16T21:08:00
69,The Conscious Living Store (Tula India),Hyderabad,organic_retail,Strong sustainability/eco positioning,Specific weaknesses not identified in this source,similar,"Flour, Snack",Not specified,https://startuppedia.in/startup-stories/hyderabad-founders-build-clean-label-organic-food-ecosystem-asking-india-to-count-chemicals-not-just-calories-have-60-repeat-customers-10984086,2026-04-16T21:08:21
70,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,Oil,Not specified,https://24mantraorganic.com/pages/our-core-initiatives,2026-04-17T00:11:49
71,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Fast delivery / quick commerce capability; Express or same-day delivery capability,Specific weaknesses not identified in this source,similar,"Rice, Flour, Lentil, Millet, Spice",Website/online delivery,https://www.distacart.com/en-ca/collections/24-mantra-organic,2026-04-17T00:11:49
72,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,Millet,Website/online delivery,https://www.jiomart.com/p/groceries/24-mantra-organic-7-grain-atta-1-kg/491337361,2026-04-17T00:11:49
73,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Massive customer base and logistics network,Specific weaknesses not identified in this source,similar,Rice,Website/online delivery; Third-party platforms,https://www.bigbasket.com/pd/40098380/24-mantra-organic-whole-moong-khichdi-200-g/,2026-04-17T00:11:49
74,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Strong digital presence and mobile app,Specific weaknesses not identified in this source,premium,"Rice, Dal",Mobile app,https://h2ohub.com/24-mantra-organic-1/,2026-04-17T00:11:49
75,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,Rice,Not specified,https://organicpantry.us/,2026-04-17T00:11:49
76,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Strong farm-to-fork traceability and sourcing transparency; Strong organic certifications and trust signals,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://24mantra.us/processes-we-use/,2026-04-17T00:12:01
77,Naturally Yours,Hyderabad,organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,Baby,Not specified,https://store.mintel.com/report/us-natural-and-organic-food-shopper-market-report,2026-04-17T00:12:23
78,Lahaan Organics,Hyderabad,organic_retail,Strong farm-to-fork traceability and sourcing transparency; Strong sustainability/eco positioning,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://theorganicworld.com/,2026-04-17T00:15:10
79,Lahaan Organics,Hyderabad,organic_retail,Pan-India presence and brand recognition,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://www.businessoffood.in/the-organic-world-expands-to-hyderabad/,2026-04-17T00:15:10
80,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Strong farm-to-fork traceability and sourcing transparency; Strong organic certifications and trust signals,Specific weaknesses not identified in this source,similar,Oil,Not specified,https://www.24mantra.com/why-24mantra/,2026-04-17T00:49:52
81,Naturally Yours,Hyderabad,organic_retail,Strong farm-to-fork traceability and sourcing transparency; Well-funded — can outspend on marketing/expansion,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://tracxn.com/d/companies/naturally-yours/__odIPV2INL3lzKLhsD2kY-tqfXMcH043thoraZv7kApE,2026-04-17T00:50:05
82,Naturally Yours,Hyderabad,organic_retail,Strong farm-to-fork traceability and sourcing transparency; Fast delivery / quick commerce capability,Specific weaknesses not identified in this source,similar,General organic groceries,Website/online delivery,https://www.haveignition.com/industry-guides/go-to-market-strategy-for-organic-produce,2026-04-17T00:50:05
83,Naturally Yours,Hyderabad,organic_retail,Well-funded — can outspend on marketing/expansion,Specific weaknesses not identified in this source,similar,General organic groceries,Website/online delivery,https://www.business-standard.com/article/companies/online-organic-food-brand-naturally-yours-receives-seed-funding-115100700720_1.html,2026-04-17T00:50:05
84,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Fast delivery / quick commerce capability,Customer complaints about service/quality reported,similar,Oil,Website/online delivery; Third-party platforms,https://newsblare.com/food/hyderabad-woman-alleges-blinkit-for-receiving-spoiled-fish/,2026-04-17T00:50:27
85,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Fast delivery / quick commerce capability,Specific weaknesses not identified in this source,similar,"Rice, Vegetable, Fruit",Website/online delivery,https://www.justdial.com/Hyderabad/Online-Shopping-Websites-For-Organic-Grocery-in-Dhruva-Enclave/nct-12256084,2026-04-17T00:52:37
86,Lahaan Organics,Hyderabad,organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://tracextech.com/organic-food-traceability/,2026-04-17T00:52:47
87,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Strong digital presence and mobile app,Specific weaknesses not identified in this source,similar,"Rice, Oil, Dal, Fruit",Mobile app; Third-party platforms,https://www.zepto.com/brand/Organic_India/166d0544-8040-417a-a798-e4a7928e110c,2026-04-17T15:41:32
88,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Strong farm-to-fork traceability and sourcing transparency,Speed-first focus may compromise product quality/range,budget,General organic groceries,Not specified,https://www.foodtechbiz.com/business-updates/instamart-partners-with-bharat-organics,2026-04-17T15:41:42
89,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Massive customer base and logistics network,Specific weaknesses not identified in this source,similar,"Millet, Gluten-Free",Third-party platforms,https://swarajyamag.com/insta/bigbasket-to-go-organic-will-now-market-health-conscious-products,2026-04-17T15:43:18
90,BigBasket (bb organic),Hyderabad (online + dark stores),ecommerce_grocery,Strong farm-to-fork traceability and sourcing transparency; Massive customer base and logistics network,Specific weaknesses not identified in this source,similar,"Rice, Flour, Dal, Honey, Spice",Third-party platforms,https://www.bigbasket.com/organic-t1/,2026-04-17T15:43:30
91,Blinkit / Zepto / Instamart,Hyderabad (online),quick_commerce,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,Gluten-Free,Not specified,https://hnworth.com/article/spend/dining/how-wendy-foo-of-ryans-grocery-inspired-an-organic-food-movement/,2026-04-17T15:43:31
92,Lahaan Organics,Hyderabad,organic_retail,Backed by ITC conglomerate — massive distribution & brand reach; Strong farm-to-fork traceability and sourcing transparency,Specific weaknesses not identified in this source,similar,General organic groceries,Not specified,https://yourstory.com/smbstory/24-mantra-organic-food-fmcg-farmers-hyderabad-business-entrepreneur,2026-04-17T15:43:38
93,Lahaan Organics,Hyderabad,organic_retail,Strong brand presence; established customer base,Specific weaknesses not identified in this source,similar,"Rice, Oil",Not specified,https://organicshandy.com/product/rice/ponni-boiled-rice/,2026-04-17T15:43:43
94,Naturally Yours,Hyderabad,organic_retail,Strong digital presence and mobile app; Strong sustainability/eco positioning,Specific weaknesses not identified in this source,similar,"Vegetable, Fruit",Mobile app,https://www.organicproducenetwork.com/organic-retail/standing-out-in-a-crowded-organic-produce-market,2026-04-18T11:56:22
95,24 Mantra Organic (Sresta / ITC),"Madhapur, Hyderabad (HQ)",organic_retail,Backed by ITC conglomerate — massive distribution & brand reach,Specific weaknesses not identified in this source,premium,"Baby, Personal Care",Not specified,https://www.thehindu.com/business/itc-to-acquire-24-mantra-organic-for-472-crore/article69462164.ece,2026-04-20T16:20:15
96,Naturally Yours,Hyderabad,organic_retail,Fast delivery / quick commerce capability; Strong digital presence and mobile app,Specific weaknesses not identified in this source,similar,"Rice, Quinoa",Mobile app; Website/online delivery,https://www.zepto.com/pn/naturally-yours-quinoa-noodles/pvid/48bd6b3e-af72-4f0d-b7fa-0bce02ec3170,2026-04-20T16:20:46
